Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities
marshalsec,local_repos/marshalsec,No,,"RCE, Deserialization","This repository provides ssrf, deserialization, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Deserialization', 'Header Injection', 'RCE']"
awspx,local_repos/awspx,Yes,80,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'SQL Injection', 'XSS']"
fabidick22_inject-sec-to-devops,local_repos/fabidick22_inject-sec-to-devops,Yes,,RCE,"This repository provides lfi/rfi, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS']"
Hawkeye,local_repos/Hawkeye,Yes,80,RCE,"This repository provides rce, xss, sql injection proof-of-concept with Docker deployment on port 80 demonstrating web-based attack vectors.","['RCE', 'XSS', 'SQL Injection', 'Header Injection', 'LFI/RFI', 'SSRF']"
go-mitmproxy,local_repos/go-mitmproxy,No,,XSS,"This repository provides ssrf, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Header Injection', 'XSS']"
stacs,local_repos/stacs,Yes,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'Path Traversal', 'XSS']"
CAT-Team-mmc_lysec,local_repos/CAT-Team-mmc_lysec,Yes,,RCE,"This repository provides lfi/rfi, ssrf, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'Path Traversal', 'Deserialization', 'XSS', 'RCE', 'Header Injection', 'SQL Injection']"
detection-hackathon-apt29,local_repos/detection-hackathon-apt29,Yes,,RCE,"This repository provides header injection, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'Path Traversal']"
malleum-inc_canari3,local_repos/malleum-inc_canari3,Yes,,RCE,"This repository provides sql injection, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'Path Traversal', 'Deserialization', 'RCE', 'SSRF', 'XSS']"
locust,local_repos/locust,Yes,5557,RCE,"This repository provides lfi/rfi, path traversal, rce proof-of-concept with Docker deployment on port 5557 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'RCE', 'Deserialization', 'SQL Injection', 'SSRF', 'XSS', 'Header Injection']"
UI-TARS-desktop,local_repos/UI-TARS-desktop,Yes,,RCE,"This repository provides lfi/rfi, path traversal, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'SSRF', 'XSS', 'Header Injection', 'RCE', 'SQL Injection']"
composer-registry-manager,local_repos/composer-registry-manager,No,,RCE,"This repository provides lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']"
tweepy_tweepy,local_repos/tweepy_tweepy,No,,SQL Injection,"This repository provides header injection, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'Path Traversal', 'LFI/RFI', 'SQL Injection', 'Deserialization', 'XSS']"
captcha-killer-5h6m,local_repos/captcha-killer-5h6m,No,,Web Application,Security research repository - captcha-killer-5h6m,[]
